# #stocks, #noise, #price, #walk, #action
58818,-6,-0.24000000000000016,162,buy
58817,-17,-0.13000000000000006,145,buy
58814,-3,-0.040000000000000084,142,buy
58812,-29,-0.01000000000000008,113,buy
58807,-15,0.1099999999999999,98,buy
58802,-26,0.18999999999999995,72,buy
58798,16,0.29000000000000004,88,sell
58801,-25,0.09999999999999991,63,buy
58797,-19,0.30000000000000004,44,buy
58794,14,0.3800000000000001,58,sell
58797,-28,0.20999999999999996,30,buy
58791,-23,0.40000000000000013,7,buy
58785,-4,0.4900000000000002,3,buy
58783,18,0.5200000000000002,21,sell
58786,-14,0.3500000000000001,7,buy
58783,25,0.5200000000000002,32,sell
58787,-17,0.33000000000000007,15,buy
58784,-9,0.4900000000000002,6,buy
58779,8,0.5600000000000003,14,sell
58782,-47,0.4500000000000002,-33,buy
58770,-19,0.6300000000000003,-52,buy
58766,3,0.7400000000000004,-49,sell
58768,7,0.6000000000000003,-42,sell
58770,-1,0.5100000000000002,-43,buy
58768,-4,0.6200000000000003,-47,buy
58766,13,0.7000000000000004,-34,sell
58769,16,0.5500000000000003,-18,sell
58774,6,0.4500000000000002,-12,sell
58778,-18,0.3800000000000001,-30,buy
58775,-20,0.5300000000000002,-50,buy
58769,10,0.6200000000000003,-40,sell
58772,11,0.5000000000000002,-29,sell
58776,3,0.42000000000000015,-26,sell
58778,-12,0.3800000000000001,-38,buy
58775,6,0.5100000000000002,-32,sell
58776,27,0.40000000000000013,-5,sell
58781,-1,0.30000000000000004,-6,buy
58780,-23,0.3900000000000001,-29,buy
58776,28,0.5000000000000002,-1,sell
58782,-24,0.29000000000000004,-25,buy
58779,-52,0.4500000000000002,-77,buy
58773,-25,0.5800000000000003,-102,buy
58768,38,0.6700000000000004,-64,sell
58772,37,0.4600000000000002,-27,sell
58778,-27,0.3700000000000001,-54,buy
58774,-17,0.5500000000000003,-71,buy
58769,8,0.6300000000000003,-63,sell
58771,-29,0.5100000000000002,-92,buy
58767,-10,0.7200000000000004,-102,buy
58764,-7,0.7700000000000005,-109,buy
58759,-66,0.7900000000000005,-175,buy
58748,18,0.9400000000000006,-157,sell
58751,10,0.7300000000000004,-147,sell
58754,18,0.6100000000000003,-129,sell
58759,-3,0.5300000000000002,-132,buy
58757,6,0.6300000000000003,-126,sell
58759,-1,0.5200000000000002,-127,buy
58757,17,0.6200000000000003,-110,sell
58762,-20,0.4800000000000002,-130,buy
58759,5,0.6600000000000004,-125,sell
58761,-18,0.5200000000000002,-143,buy
58758,-3,0.6900000000000004,-146,buy
58757,-5,0.7200000000000004,-151,buy
58754,-18,0.7800000000000005,-169,buy
58751,29,0.9000000000000006,-140,sell
58754,-18,0.6400000000000003,-158,buy
58751,-20,0.9000000000000006,-178,buy
58745,-8,0.9700000000000006,-186,buy
58743,-37,1.0300000000000007,-223,buy
58736,-26,1.1300000000000008,-249,buy
58729,-29,1.2000000000000008,-278,buy
58723,-15,1.350000000000001,-293,buy
58715,-24,1.400000000000001,-317,buy
58709,8,1.5100000000000011,-309,sell
58710,6,1.2500000000000009,-303,sell
58712,20,1.1400000000000008,-283,sell
58716,6,1.0200000000000007,-277,sell
58717,10,0.9600000000000006,-267,sell
58721,5,0.9100000000000006,-262,sell
58723,10,0.8500000000000005,-252,sell
58727,-4,0.7500000000000004,-256,buy
58726,5,0.8900000000000006,-251,sell
58728,19,0.7400000000000004,-232,sell
58731,-18,0.6200000000000003,-250,buy
58728,-38,0.9000000000000006,-288,buy
58723,-11,1.0800000000000007,-299,buy
58720,4,1.1400000000000008,-295,sell
58721,8,0.9800000000000006,-287,sell
58723,32,0.8700000000000006,-255,sell
58729,33,0.7300000000000004,-222,sell
58738,-8,0.5800000000000003,-230,buy
58736,8,0.7200000000000004,-222,sell
58738,43,0.5800000000000003,-179,sell
58745,-24,0.4600000000000002,-203,buy
58741,-22,0.6700000000000004,-225,buy
58736,4,0.8000000000000005,-221,sell
58737,-13,0.6600000000000004,-234,buy
58735,2,0.8800000000000006,-232,sell
58736,-6,0.7600000000000005,-238,buy
58734,-15,0.9000000000000006,-253,buy
58730,9,0.9700000000000006,-244,sell
58733,-9,0.7700000000000005,-253,buy
58731,-36,0.9400000000000006,-289,buy
58725,3,1.0900000000000007,-286,sell
58726,-42,0.9900000000000007,-328,buy
58720,-1,1.2000000000000008,-329,buy
58719,24,1.2500000000000009,-305,sell
58722,-2,1.0200000000000007,-307,buy
58720,12,1.1800000000000008,-295,sell
58723,-28,1.0100000000000007,-323,buy
58720,3,1.2300000000000009,-320,sell
58721,-44,1.0600000000000007,-364,buy
58716,33,1.360000000000001,-331,sell
58720,-2,1.0300000000000007,-333,buy
58718,5,1.1800000000000008,-328,sell
58719,-37,1.0400000000000007,-365,buy
58715,7,1.370000000000001,-358,sell
58717,-7,1.1400000000000008,-365,buy
58716,19,1.310000000000001,-346,sell
58719,-29,1.0300000000000007,-375,buy
58716,-31,1.290000000000001,-406,buy
58712,3,1.460000000000001,-403,sell
58714,9,1.1600000000000008,-394,sell
58717,4,1.0600000000000007,-390,sell
58719,-21,1.0100000000000007,-411,buy
58716,19,1.2100000000000009,-392,sell
58719,18,0.9800000000000006,-374,sell
58723,8,0.8700000000000006,-366,sell
58725,7,0.7800000000000005,-359,sell
58728,-8,0.7500000000000004,-367,buy
58727,7,0.9300000000000006,-360,sell
58730,-8,0.7300000000000004,-368,buy
58728,-17,0.9100000000000006,-385,buy
58725,17,1.0200000000000007,-368,sell
58727,24,0.8100000000000005,-344,sell
58731,-31,0.6900000000000004,-375,buy
58727,12,0.9400000000000006,-363,sell
58729,17,0.7600000000000005,-346,sell
58731,-46,0.6400000000000003,-392,buy
58726,-4,0.9700000000000006,-396,buy
58724,11,1.0400000000000007,-385,sell
58726,-4,0.8600000000000005,-389,buy
58724,56,1.0400000000000007,-333,sell
58730,-46,0.7400000000000004,-379,buy
58725,-10,1.0200000000000007,-389,buy
58721,6,1.1000000000000008,-383,sell
58722,2,0.9600000000000006,-381,sell
58723,20,0.9200000000000006,-361,sell
58726,15,0.7800000000000005,-346,sell
58730,-6,0.7200000000000004,-352,buy
58728,6,0.9000000000000006,-346,sell
58730,15,0.7300000000000004,-331,sell
58737,9,0.6000000000000003,-322,sell
58741,-28,0.5400000000000003,-350,buy
58737,-8,0.7500000000000004,-358,buy
58735,-3,0.8100000000000005,-361,buy
58734,10,0.8800000000000006,-351,sell
58736,-22,0.6900000000000004,-373,buy
58733,-4,0.9100000000000006,-377,buy
58731,3,0.9400000000000006,-374,sell
58732,-24,0.8300000000000005,-398,buy
58727,1,1.0400000000000007,-397,sell
58728,-16,0.9300000000000006,-413,buy
58724,-13,1.1100000000000008,-426,buy
58720,21,1.1900000000000008,-405,sell
58723,-22,0.9800000000000006,-427,buy
58720,-19,1.2100000000000009,-446,buy
58716,46,1.340000000000001,-400,sell
58721,-7,1.0000000000000007,-407,buy
58720,4,1.1500000000000008,-403,sell
58721,14,0.9800000000000006,-389,sell
58724,23,0.8700000000000006,-366,sell
58729,-17,0.7400000000000004,-383,buy
58725,13,0.9500000000000006,-370,sell
58728,13,0.7600000000000005,-357,sell
58731,24,0.6800000000000004,-333,sell
58738,26,0.5800000000000003,-307,sell
58744,-2,0.4900000000000002,-309,buy
58743,-5,0.5700000000000003,-314,buy
58741,40,0.6400000000000003,-274,sell
58748,-17,0.44000000000000017,-291,buy
58745,22,0.5900000000000003,-269,sell
58750,-16,0.41000000000000014,-285,buy
58747,16,0.5800000000000003,-269,sell
58750,-13,0.42000000000000015,-282,buy
58747,-28,0.5700000000000003,-310,buy
58742,22,0.6800000000000004,-288,sell
58746,30,0.5000000000000002,-258,sell
58753,-14,0.3900000000000001,-272,buy
58750,14,0.5400000000000003,-258,sell
58753,26,0.3900000000000001,-232,sell
58758,35,0.31000000000000005,-197,sell
58764,13,0.20999999999999996,-184,sell
58770,-5,0.16999999999999993,-189,buy
58769,-33,0.29000000000000004,-222,buy
58764,26,0.3900000000000001,-196,sell
58768,4,0.19999999999999996,-192,sell
58771,-39,0.15999999999999992,-231,buy
58766,-26,0.3800000000000001,-257,buy
58760,14,0.4700000000000002,-243,sell
58763,-25,0.33000000000000007,-268,buy
58758,6,0.5100000000000002,-262,sell
58759,32,0.40000000000000013,-230,sell
58765,-3,0.29000000000000004,-233,buy
58764,14,0.3700000000000001,-219,sell
58768,-14,0.21999999999999997,-233,buy
58765,-2,0.3600000000000001,-235,buy
58763,-2,0.40000000000000013,-237,buy
58762,-2,0.44000000000000017,-239,buy
58759,2,0.4600000000000002,-237,sell
58761,20,0.3800000000000001,-217,sell
58765,9,0.27,-208,sell
58768,26,0.20999999999999996,-182,sell
58776,-37,0.1199999999999999,-219,buy
58770,16,0.32000000000000006,-203,sell
58774,-3,0.16999999999999993,-206,buy
58773,21,0.27,-185,sell
58777,-17,0.08999999999999991,-202,buy
58774,31,0.27,-171,sell
58781,-14,0.06999999999999992,-185,buy
58778,-17,0.22999999999999998,-202,buy
58773,-27,0.32000000000000006,-229,buy
58769,-19,0.4500000000000002,-248,buy
58764,16,0.5100000000000002,-232,sell
58767,-21,0.3600000000000001,-253,buy
58763,17,0.5400000000000003,-236,sell
58767,11,0.3800000000000001,-225,sell
58771,27,0.29000000000000004,-198,sell
58777,4,0.16999999999999993,-194,sell
58779,25,0.1199999999999999,-169,sell
58787,42,0.019999999999999914,-127,sell
58794,-16,-0.09000000000000008,-143,buy
58791,-9,0.07999999999999992,-152,buy
58788,38,0.1499999999999999,-114,sell
58793,17,-0.05000000000000009,-97,sell
58802,-15,-0.12000000000000006,-112,buy
58798,-28,0.039999999999999925,-140,buy
58793,-7,0.15999999999999992,-147,buy
58790,-14,0.20999999999999996,-161,buy
58787,7,0.29000000000000004,-154,sell
58790,3,0.1299999999999999,-151,sell
58792,11,0.06999999999999992,-140,sell
58795,-13,0.009999999999999913,-153,buy
58792,-13,0.15999999999999992,-166,buy
58789,-8,0.24,-174,buy
58787,-31,0.29000000000000004,-205,buy
58781,28,0.3900000000000001,-177,sell
58785,12,0.19999999999999996,-165,sell
58789,-13,0.1299999999999999,-178,buy
58786,-26,0.26,-204,buy
58782,-6,0.3800000000000001,-210,buy
58780,-26,0.42000000000000015,-236,buy
58774,-2,0.4900000000000002,-238,buy
58772,-31,0.5100000000000002,-269,buy
58764,-1,0.6100000000000003,-270,buy
58762,-22,0.6200000000000003,-292,buy
58759,12,0.7300000000000004,-280,sell
58761,4,0.5600000000000003,-276,sell
58763,38,0.5300000000000002,-238,sell
58769,5,0.3900000000000001,-233,sell
58771,-20,0.3400000000000001,-253,buy
58768,43,0.5000000000000002,-210,sell
58774,5,0.27,-205,sell
58776,15,0.22999999999999998,-190,sell
58781,9,0.15999999999999992,-181,sell
58784,-4,0.09999999999999991,-185,buy
58783,-21,0.21999999999999997,-206,buy
58778,-42,0.32000000000000006,-248,buy
58771,-22,0.4800000000000002,-270,buy
58766,-10,0.5700000000000003,-280,buy
58761,-44,0.6300000000000003,-324,buy
58751,3,0.7900000000000005,-321,sell
58752,-11,0.6700000000000004,-332,buy
58749,51,0.8600000000000005,-281,sell
58755,49,0.5700000000000003,-232,sell
58763,-4,0.42000000000000015,-236,buy
58761,10,0.5400000000000003,-226,sell
58763,-20,0.41000000000000014,-246,buy
58760,8,0.6000000000000003,-238,sell
58763,15,0.4500000000000002,-223,sell
58767,-8,0.3400000000000001,-231,buy
58764,58,0.4600000000000002,-173,sell
58771,-32,0.25,-205,buy
58764,33,0.4600000000000002,-172,sell
58770,3,0.29000000000000004,-169,sell
58772,18,0.24,-151,sell
58777,2,0.15999999999999992,-149,sell
58779,3,0.1399999999999999,-146,sell
58781,-5,0.1099999999999999,-151,buy
58779,-23,0.22999999999999998,-174,buy
58774,-9,0.3500000000000001,-183,buy
58771,7,0.43000000000000016,-176,sell
58774,5,0.29000000000000004,-171,sell
58776,-22,0.22999999999999998,-193,buy
58772,-5,0.41000000000000014,-198,buy
58768,18,0.4600000000000002,-180,sell
58771,-9,0.32000000000000006,-189,buy
58768,-6,0.4600000000000002,-195,buy
58766,-3,0.5200000000000002,-198,buy
58764,16,0.5500000000000003,-182,sell
58768,36,0.3800000000000001,-146,sell
58774,37,0.22999999999999998,-109,sell
58781,20,0.1199999999999999,-89,sell
58788,-6,0.029999999999999916,-95,buy
58786,-8,0.1399999999999999,-103,buy
58784,-30,0.19999999999999996,-133,buy
58778,34,0.32000000000000006,-99,sell
58784,-18,0.1299999999999999,-117,buy
58781,43,0.28,-74,sell
58787,11,0.03999999999999992,-63,sell
58790,-5,-0.010000000000000087,-68,buy
58789,21,0.1299999999999999,-47,sell
58793,-17,-0.07000000000000009,-64,buy
58790,-11,0.1199999999999999,-75,buy
58786,21,0.18999999999999995,-54,sell
58790,4,0.029999999999999916,-50,sell
58791,-64,-0.010000000000000087,-114,buy
58783,-12,0.26,-126,buy
58780,-12,0.3400000000000001,-138,buy
58776,1,0.41000000000000014,-137,sell
58777,5,0.3400000000000001,-132,sell
58779,-2,0.28,-134,buy
58778,62,0.3600000000000001,-72,sell
58785,-13,0.1099999999999999,-85,buy
58782,16,0.26,-69,sell
58785,7,0.09999999999999991,-62,sell
58788,-24,0.04999999999999992,-86,buy
58784,-1,0.22999999999999998,-87,buy
58783,3,0.25,-84,sell
58784,5,0.15999999999999992,-79,sell
58786,12,0.1199999999999999,-67,sell
58790,39,0.029999999999999916,-28,sell
58798,22,-0.10000000000000007,-6,sell
58805,-15,-0.15000000000000008,-21,buy
58802,4,0.00999999999999992,-17,sell
58804,36,-0.10000000000000007,19,sell
58812,32,-0.22000000000000014,51,sell
58820,20,-0.3000000000000002,71,sell
58825,10,-0.3700000000000003,81,sell
58833,2,-0.4100000000000003,83,sell
58837,-17,-0.4200000000000003,66,buy
58833,-1,-0.2600000000000002,65,buy
58832,8,-0.24000000000000016,73,sell
58834,8,-0.3700000000000003,81,sell
