# #stocks, #noise, #price, #walk, #kn, #action
4532,-132,0,0,0,buy
4398,-29,0.027000000000000017,-132,-134,buy
4358,-57,0.035000000000000024,-161,-174,buy
4300,-32,0.04500000000000003,-218,-232,buy
4263,-54,0.05100000000000004,-250,-269,buy
4204,82,0.06500000000000004,-304,-328,sell
4287,59,0.018000000000000002,-222,-245,sell
4346,176,0.000999999999999993,-163,-186,sell
4523,-57,-0.017000000000000015,13,-9,buy
4460,67,-6.938893903907228e-18,-44,-72,sell
4536,155,-0.018000000000000016,23,4,sell
4691,-30,-0.039000000000000035,178,159,buy
