# #stocks, #noise, #price, #walk, #kn, #action
58762,4,0,0,0,sell
58767,1,-0.03,4,8,sell
58768,-2,-0.060000000000000005,5,9,buy
58767,4,0.05000000000000001,3,7,sell
58768,1,-0.060000000000000005,7,11,sell
58771,-1,-0.07,8,14,buy
58770,-4,0.04000000000000001,7,13,buy
58768,-3,0.09,3,9,buy
58766,2,0.15,0,6,sell
58767,2,0.07,2,8,sell
58768,-2,0.05,4,10,buy
58766,-3,0.15,2,7,buy
58764,-3,0.19000000000000003,-1,4,buy
58762,-1,0.25000000000000006,-4,0,buy
58761,-1,0.26000000000000006,-5,-1,buy
58760,2,0.3000000000000001,-6,-2,sell
58761,2,0.23000000000000004,-4,0,sell
58762,3,0.16999999999999998,-2,2,sell
58764,-2,0.12999999999999995,1,5,buy
58763,-1,0.2,-1,3,buy
58762,-4,0.23000000000000004,-2,2,buy
58761,-1,0.2800000000000001,-6,-2,buy
58760,-3,0.3000000000000001,-7,-3,buy
58758,-3,0.3200000000000001,-10,-6,buy
58757,1,0.37000000000000016,-13,-9,sell
58758,2,0.2900000000000001,-12,-8,sell
58759,3,0.23000000000000004,-10,-6,sell
58760,-1,0.2,-7,-3,buy
58759,1,0.3000000000000001,-8,-4,sell
58760,3,0.24000000000000005,-7,-3,sell
58762,-4,0.16999999999999998,-4,0,buy
58761,-1,0.2800000000000001,-8,-4,buy
58760,1,0.3000000000000001,-9,-5,sell
58761,1,0.24000000000000005,-8,-4,sell
58762,2,0.18,-7,-3,sell
58764,-2,0.12999999999999995,-5,0,buy
58763,-2,0.2,-7,-2,buy
58762,-2,0.24000000000000005,-9,-4,buy
58761,-1,0.26000000000000006,-11,-6,buy
58760,1,0.3000000000000001,-12,-7,sell
58761,2,0.24000000000000005,-11,-6,sell
58762,-1,0.16999999999999998,-9,-4,buy
58761,-2,0.25000000000000006,-10,-5,buy
58759,1,0.3100000000000001,-12,-8,sell
58760,-3,0.24000000000000005,-11,-7,buy
58758,-1,0.3200000000000001,-14,-11,buy
58757,1,0.35000000000000014,-15,-12,sell
58758,-1,0.2900000000000001,-14,-11,buy
58757,-1,0.35000000000000014,-15,-12,buy
58755,1,0.3900000000000002,-16,-14,sell
58756,-2,0.3000000000000001,-15,-13,buy
58754,-2,0.4000000000000002,-17,-16,buy
58753,-1,0.4400000000000002,-19,-18,buy
58750,2,0.46000000000000024,-20,-21,sell
58752,-1,0.38000000000000017,-18,-18,buy
58750,-2,0.46000000000000024,-19,-20,buy
58748,2,0.5000000000000002,-21,-23,sell
58750,5,0.3800000000000001,-19,-20,sell
58752,2,0.31000000000000005,-14,-15,sell
58754,2,0.29000000000000004,-12,-12,sell
58756,-2,0.24,-10,-9,buy
58755,-2,0.31000000000000005,-12,-11,buy
58754,1,0.3600000000000001,-14,-13,sell
58755,2,0.29000000000000004,-13,-12,sell
58756,-1,0.22999999999999998,-11,-10,buy
58755,3,0.30000000000000004,-12,-11,sell
58757,2,0.21999999999999997,-9,-7,sell
58759,1,0.17999999999999994,-7,-4,sell
58760,-2,0.16999999999999993,-6,-3,buy
58759,2,0.26,-8,-5,sell
58760,-1,0.16999999999999993,-6,-3,buy
58759,1,0.25,-7,-4,sell
58760,-1,0.17999999999999994,-6,-3,buy
58759,3,0.25,-7,-4,sell
58760,-1,0.15999999999999992,-4,-1,buy
58759,-1,0.25,-5,-2,buy
58758,4,0.30000000000000004,-6,-3,sell
58759,-1,0.20999999999999996,-2,1,buy
58758,-1,0.30000000000000004,-3,0,buy
58757,-1,0.31000000000000005,-4,-1,buy
58756,-3,0.32000000000000006,-5,-2,buy
58755,-1,0.3700000000000001,-8,-5,buy
58754,-2,0.3900000000000001,-9,-6,buy
58753,-2,0.41000000000000014,-11,-8,buy
58752,3,0.44000000000000017,-13,-10,sell
58753,2,0.32000000000000006,-10,-7,sell
58755,-2,0.29000000000000004,-8,-4,buy
58754,-1,0.3600000000000001,-10,-6,buy
58753,4,0.3900000000000001,-11,-7,sell
58755,1,0.28,-7,-2,sell
58756,-1,0.25,-6,-1,buy
58755,-3,0.3500000000000001,-7,-2,buy
58753,-2,0.40000000000000013,-10,-5,buy
58752,1,0.44000000000000017,-12,-7,sell
58753,-2,0.3400000000000001,-11,-6,buy
58752,-1,0.41000000000000014,-13,-8,buy
58749,4,0.4600000000000002,-14,-11,sell
58751,2,0.3700000000000001,-10,-6,sell
58752,-2,0.33000000000000007,-8,-4,buy
58751,-2,0.41000000000000014,-10,-6,buy
58749,3,0.4600000000000002,-12,-8,sell
58751,2,0.3800000000000001,-9,-5,sell
58752,-4,0.33000000000000007,-7,-3,buy
58751,1,0.43000000000000016,-11,-7,sell
58752,1,0.3400000000000001,-10,-6,sell
58753,-1,0.31000000000000005,-9,-5,buy
58752,-3,0.40000000000000013,-10,-6,buy
58749,1,0.4600000000000002,-13,-9,sell
58750,-1,0.3900000000000001,-12,-8,buy
58749,-2,0.4600000000000002,-13,-9,buy
58748,2,0.5000000000000002,-15,-11,sell
58750,4,0.3800000000000001,-13,-8,sell
58752,1,0.31000000000000005,-9,-3,sell
58753,4,0.30000000000000004,-8,-2,sell
58754,1,0.26,-4,2,sell
58755,-2,0.25,-3,3,buy
58754,1,0.3600000000000001,-5,1,sell
58755,-1,0.29000000000000004,-4,2,buy
58754,1,0.3500000000000001,-5,1,sell
58755,1,0.29000000000000004,-4,2,sell
58756,-4,0.24,-3,3,buy
58755,-2,0.33000000000000007,-7,-1,buy
58754,-4,0.3600000000000001,-9,-3,buy
58752,-4,0.41000000000000014,-13,-8,buy
58748,2,0.4600000000000002,-17,-15,sell
58750,1,0.3800000000000001,-15,-12,sell
58751,-1,0.3400000000000001,-14,-11,buy
58750,-7,0.40000000000000013,-15,-12,buy
58748,2,0.4900000000000002,-22,-20,sell
58750,1,0.3800000000000001,-20,-17,sell
58751,1,0.3400000000000001,-19,-16,sell
58752,1,0.31000000000000005,-18,-15,sell
58753,2,0.30000000000000004,-17,-14,sell
58754,1,0.28,-15,-12,sell
58755,4,0.25,-14,-11,sell
58757,-2,0.21999999999999997,-10,-7,buy
58755,-1,0.31000000000000005,-12,-10,buy
58754,-2,0.3500000000000001,-13,-11,buy
58752,2,0.40000000000000013,-15,-14,sell
58753,1,0.33000000000000007,-13,-12,sell
58754,2,0.30000000000000004,-12,-11,sell
