# #stocks, #noise, #price, #walk, #kn, #action
4157,302,0,0,0,sell
4470,287,-0.022000000000000013,302,313,sell
4765,-115,-0.047000000000000035,589,608,buy
4644,167,-0.017000000000000008,474,487,sell
4814,244,-0.05200000000000004,641,657,sell
5061,257,-0.07600000000000005,885,904,sell
5327,-204,-0.10800000000000008,1142,1170,buy
5122,-129,-0.05800000000000004,938,965,buy
4991,-200,-0.043000000000000024,809,834,buy
4788,196,-0.02600000000000001,609,631,sell
4989,-206,-0.06800000000000005,805,832,buy
4783,276,-0.02500000000000001,599,626,sell
5064,35,-0.07600000000000005,875,907,sell
5101,1,-0.08100000000000006,910,944,sell
